frame.number,frame.time,ip.src,ip.len,ip.dst,ip.proto,tcp.srcport,tcp.dstport,tcp.ack,tcp.flags
"1","Mar 21, 2024 17:59:11.490747000 UTC","172.28.0.2","60","23.202.154.25","6","42188","443","0","0x0002"
"2","Mar 21, 2024 17:59:11.508873000 UTC","23.202.154.25","60","172.28.0.2","6","443","42188","1","0x0012"
"3","Mar 21, 2024 17:59:11.509051000 UTC","172.28.0.2","52","23.202.154.25","6","42188","443","1","0x0010"
"4","Mar 21, 2024 17:59:11.511824000 UTC","172.28.0.2","569","23.202.154.25","6","42188","443","1","0x0018"
"5","Mar 21, 2024 17:59:11.529184000 UTC","23.202.154.25","52","172.28.0.2","6","443","42188","518","0x0010"
"6","Mar 21, 2024 17:59:11.529967000 UTC","23.202.154.25","2948","172.28.0.2","6","443","42188","518","0x0018"
"7","Mar 21, 2024 17:59:11.530065000 UTC","172.28.0.2","52","23.202.154.25","6","42188","443","2897","0x0010"
"8","Mar 21, 2024 17:59:11.529969000 UTC","23.202.154.25","1252","172.28.0.2","6","443","42188","518","0x0018"
"9","Mar 21, 2024 17:59:11.530120000 UTC","172.28.0.2","52","23.202.154.25","6","42188","443","4097","0x0010"
"10","Mar 21, 2024 17:59:11.530204000 UTC","23.202.154.25","1225","172.28.0.2","6","443","42188","518","0x0018"
"11","Mar 21, 2024 17:59:11.530234000 UTC","172.28.0.2","52","23.202.154.25","6","42188","443","5270","0x0010"
"12","Mar 21, 2024 17:59:11.532309000 UTC","172.28.0.2","132","23.202.154.25","6","42188","443","5270","0x0018"
"13","Mar 21, 2024 17:59:11.532631000 UTC","172.28.0.2","98","23.202.154.25","6","42188","443","5270","0x0018"
"14","Mar 21, 2024 17:59:11.532701000 UTC","172.28.0.2","101","23.202.154.25","6","42188","443","5270","0x0018"
"15","Mar 21, 2024 17:59:11.532743000 UTC","172.28.0.2","87","23.202.154.25","6","42188","443","5270","0x0018"
"16","Mar 21, 2024 17:59:11.532815000 UTC","172.28.0.2","114","23.202.154.25","6","42188","443","5270","0x0018"
"17","Mar 21, 2024 17:59:11.554814000 UTC","23.202.154.25","339","172.28.0.2","6","443","42188","790","0x0018"
"18","Mar 21, 2024 17:59:11.554815000 UTC","23.202.154.25","339","172.28.0.2","6","443","42188","790","0x0018"
"19","Mar 21, 2024 17:59:11.555203000 UTC","172.28.0.2","52","23.202.154.25","6","42188","443","5844","0x0010"
"20","Mar 21, 2024 17:59:11.569392000 UTC","23.202.154.25","113","172.28.0.2","6","443","42188","790","0x0018"
"21","Mar 21, 2024 17:59:11.569394000 UTC","23.202.154.25","83","172.28.0.2","6","443","42188","790","0x0018"
"22","Mar 21, 2024 17:59:11.569672000 UTC","172.28.0.2","83","23.202.154.25","6","42188","443","5936","0x0018"
"23","Mar 21, 2024 17:59:11.593772000 UTC","23.202.154.25","347","172.28.0.2","6","443","42188","821","0x0018"
"24","Mar 21, 2024 17:59:11.593974000 UTC","23.202.154.25","2948","172.28.0.2","6","443","42188","821","0x0018"
"25","Mar 21, 2024 17:59:11.593975000 UTC","23.202.154.25","2948","172.28.0.2","6","443","42188","821","0x0018"
"26","Mar 21, 2024 17:59:11.593976000 UTC","23.202.154.25","2948","172.28.0.2","6","443","42188","821","0x0018"
"27","Mar 21, 2024 17:59:11.593977000 UTC","23.202.154.25","2948","172.28.0.2","6","443","42188","821","0x0018"
"28","Mar 21, 2024 17:59:11.594141000 UTC","172.28.0.2","52","23.202.154.25","6","42188","443","17815","0x0010"
"29","Mar 21, 2024 17:59:11.594639000 UTC","23.202.154.25","2948","172.28.0.2","6","443","42188","821","0x0018"
"30","Mar 21, 2024 17:59:11.594720000 UTC","172.28.0.2","52","23.202.154.25","6","42188","443","20711","0x0010"
"31","Mar 21, 2024 17:59:11.595402000 UTC","23.202.154.25","1978","172.28.0.2","6","443","42188","821","0x0018"
"32","Mar 21, 2024 17:59:11.595473000 UTC","172.28.0.2","52","23.202.154.25","6","42188","443","22637","0x0010"
"33","Mar 21, 2024 17:59:11.596007000 UTC","23.202.154.25","2948","172.28.0.2","6","443","42188","821","0x0018"
"34","Mar 21, 2024 17:59:11.596078000 UTC","172.28.0.2","52","23.202.154.25","6","42188","443","25533","0x0010"
"35","Mar 21, 2024 17:59:11.596857000 UTC","23.202.154.25","2948","172.28.0.2","6","443","42188","821","0x0018"
"36","Mar 21, 2024 17:59:11.596929000 UTC","172.28.0.2","52","23.202.154.25","6","42188","443","28429","0x0010"
"37","Mar 21, 2024 17:59:11.597765000 UTC","23.202.154.25","2948","172.28.0.2","6","443","42188","821","0x0018"
"38","Mar 21, 2024 17:59:11.597834000 UTC","172.28.0.2","52","23.202.154.25","6","42188","443","31325","0x0010"
"39","Mar 21, 2024 17:59:11.599094000 UTC","23.202.154.25","1500","172.28.0.2","6","443","42188","821","0x0010"
"40","Mar 21, 2024 17:59:11.599158000 UTC","172.28.0.2","52","23.202.154.25","6","42188","443","32773","0x0010"
"41","Mar 21, 2024 17:59:11.611434000 UTC","23.202.154.25","2948","172.28.0.2","6","443","42188","821","0x0018"
"42","Mar 21, 2024 17:59:11.611597000 UTC","172.28.0.2","52","23.202.154.25","6","42188","443","35669","0x0010"
"43","Mar 21, 2024 17:59:11.611828000 UTC","23.202.154.25","2948","172.28.0.2","6","443","42188","821","0x0018"
"44","Mar 21, 2024 17:59:11.611880000 UTC","172.28.0.2","52","23.202.154.25","6","42188","443","38565","0x0010"
"45","Mar 21, 2024 17:59:11.612648000 UTC","23.202.154.25","2948","172.28.0.2","6","443","42188","821","0x0018"
"46","Mar 21, 2024 17:59:11.612714000 UTC","172.28.0.2","52","23.202.154.25","6","42188","443","41461","0x0010"
"47","Mar 21, 2024 17:59:11.613507000 UTC","23.202.154.25","2948","172.28.0.2","6","443","42188","821","0x0018"
"48","Mar 21, 2024 17:59:11.613567000 UTC","172.28.0.2","52","23.202.154.25","6","42188","443","44357","0x0010"
"49","Mar 21, 2024 17:59:11.614356000 UTC","23.202.154.25","2948","172.28.0.2","6","443","42188","821","0x0018"
"50","Mar 21, 2024 17:59:11.614412000 UTC","172.28.0.2","52","23.202.154.25","6","42188","443","47253","0x0010"
"51","Mar 21, 2024 17:59:11.615183000 UTC","23.202.154.25","2948","172.28.0.2","6","443","42188","821","0x0018"
"52","Mar 21, 2024 17:59:11.615232000 UTC","172.28.0.2","52","23.202.154.25","6","42188","443","50149","0x0010"
"53","Mar 21, 2024 17:59:11.616102000 UTC","23.202.154.25","2948","172.28.0.2","6","443","42188","821","0x0018"
"54","Mar 21, 2024 17:59:11.616175000 UTC","172.28.0.2","52","23.202.154.25","6","42188","443","53045","0x0010"
"55","Mar 21, 2024 17:59:11.616927000 UTC","23.202.154.25","2948","172.28.0.2","6","443","42188","821","0x0018"
"56","Mar 21, 2024 17:59:11.616996000 UTC","172.28.0.2","52","23.202.154.25","6","42188","443","55941","0x0010"
"57","Mar 21, 2024 17:59:11.617677000 UTC","23.202.154.25","2948","172.28.0.2","6","443","42188","821","0x0018"
"58","Mar 21, 2024 17:59:11.617767000 UTC","172.28.0.2","52","23.202.154.25","6","42188","443","58837","0x0010"
"59","Mar 21, 2024 17:59:11.618445000 UTC","23.202.154.25","2948","172.28.0.2","6","443","42188","821","0x0018"
"60","Mar 21, 2024 17:59:11.618506000 UTC","172.28.0.2","52","23.202.154.25","6","42188","443","61733","0x0010"
"61","Mar 21, 2024 17:59:11.619224000 UTC","23.202.154.25","2948","172.28.0.2","6","443","42188","821","0x0018"
"62","Mar 21, 2024 17:59:11.619285000 UTC","172.28.0.2","52","23.202.154.25","6","42188","443","64629","0x0010"
"63","Mar 21, 2024 17:59:11.620037000 UTC","23.202.154.25","2948","172.28.0.2","6","443","42188","821","0x0018"
"64","Mar 21, 2024 17:59:11.620114000 UTC","172.28.0.2","52","23.202.154.25","6","42188","443","67525","0x0010"
"65","Mar 21, 2024 17:59:11.620809000 UTC","23.202.154.25","2948","172.28.0.2","6","443","42188","821","0x0018"
"66","Mar 21, 2024 17:59:11.620870000 UTC","172.28.0.2","52","23.202.154.25","6","42188","443","70421","0x0010"
"67","Mar 21, 2024 17:59:11.621640000 UTC","23.202.154.25","2948","172.28.0.2","6","443","42188","821","0x0018"
"68","Mar 21, 2024 17:59:11.621708000 UTC","172.28.0.2","52","23.202.154.25","6","42188","443","73317","0x0010"
"69","Mar 21, 2024 17:59:11.622412000 UTC","23.202.154.25","2948","172.28.0.2","6","443","42188","821","0x0018"
"70","Mar 21, 2024 17:59:11.622494000 UTC","172.28.0.2","52","23.202.154.25","6","42188","443","76213","0x0010"
"71","Mar 21, 2024 17:59:11.623200000 UTC","23.202.154.25","2948","172.28.0.2","6","443","42188","821","0x0018"
"72","Mar 21, 2024 17:59:11.623263000 UTC","172.28.0.2","52","23.202.154.25","6","42188","443","79109","0x0010"
