frame.number,frame.time,ip.src,ip.len,ip.dst,ip.proto,tcp.srcport,tcp.dstport,tcp.ack,tcp.flags
"1","Mar 21, 2024 18:03:23.250160000 UTC","172.28.0.2","60","192.0.66.32","6","56716","443","0","0x0002"
"2","Mar 21, 2024 18:03:23.263602000 UTC","192.0.66.32","52","172.28.0.2","6","443","56716","1","0x0012"
"3","Mar 21, 2024 18:03:23.263864000 UTC","172.28.0.2","40","192.0.66.32","6","56716","443","1","0x0010"
"4","Mar 21, 2024 18:03:23.267990000 UTC","172.28.0.2","557","192.0.66.32","6","56716","443","1","0x0018"
"5","Mar 21, 2024 18:03:23.280594000 UTC","192.0.66.32","40","172.28.0.2","6","443","56716","518","0x0010"
"6","Mar 21, 2024 18:03:23.281892000 UTC","192.0.66.32","2960","172.28.0.2","6","443","56716","518","0x0018"
"7","Mar 21, 2024 18:03:23.282086000 UTC","172.28.0.2","40","192.0.66.32","6","56716","443","2921","0x0010"
"8","Mar 21, 2024 18:03:23.281895000 UTC","192.0.66.32","1216","172.28.0.2","6","443","56716","518","0x0018"
"9","Mar 21, 2024 18:03:23.282208000 UTC","172.28.0.2","40","192.0.66.32","6","56716","443","4097","0x0010"
"10","Mar 21, 2024 18:03:23.282290000 UTC","192.0.66.32","89","172.28.0.2","6","443","56716","518","0x0018"
"11","Mar 21, 2024 18:03:23.282385000 UTC","172.28.0.2","40","192.0.66.32","6","56716","443","4146","0x0010"
"12","Mar 21, 2024 18:03:23.285687000 UTC","172.28.0.2","120","192.0.66.32","6","56716","443","4146","0x0018"
"13","Mar 21, 2024 18:03:23.286072000 UTC","172.28.0.2","86","192.0.66.32","6","56716","443","4146","0x0018"
"14","Mar 21, 2024 18:03:23.286197000 UTC","172.28.0.2","89","192.0.66.32","6","56716","443","4146","0x0018"
"15","Mar 21, 2024 18:03:23.286290000 UTC","172.28.0.2","75","192.0.66.32","6","56716","443","4146","0x0018"
"16","Mar 21, 2024 18:03:23.286433000 UTC","172.28.0.2","102","192.0.66.32","6","56716","443","4146","0x0018"
"17","Mar 21, 2024 18:03:23.298299000 UTC","192.0.66.32","327","172.28.0.2","6","443","56716","598","0x0018"
"18","Mar 21, 2024 18:03:23.298302000 UTC","192.0.66.32","327","172.28.0.2","6","443","56716","598","0x0018"
"19","Mar 21, 2024 18:03:23.298656000 UTC","192.0.66.32","102","172.28.0.2","6","443","56716","598","0x0018"
"20","Mar 21, 2024 18:03:23.298658000 UTC","192.0.66.32","40","172.28.0.2","6","443","56716","693","0x0010"
"21","Mar 21, 2024 18:03:23.298773000 UTC","172.28.0.2","40","192.0.66.32","6","56716","443","4782","0x0010"
"22","Mar 21, 2024 18:03:23.298659000 UTC","192.0.66.32","71","172.28.0.2","6","443","56716","693","0x0018"
"23","Mar 21, 2024 18:03:23.298660000 UTC","192.0.66.32","40","172.28.0.2","6","443","56716","790","0x0010"
"24","Mar 21, 2024 18:03:23.298898000 UTC","172.28.0.2","71","192.0.66.32","6","56716","443","4813","0x0018"
"25","Mar 21, 2024 18:03:23.298974000 UTC","192.0.66.32","526","172.28.0.2","6","443","56716","790","0x0018"
"26","Mar 21, 2024 18:03:23.299433000 UTC","172.28.0.2","64","192.0.66.32","6","56716","443","5299","0x0018"
"27","Mar 21, 2024 18:03:23.299590000 UTC","172.28.0.2","40","192.0.66.32","6","56716","443","5299","0x0011"
"28","Mar 21, 2024 18:03:23.311845000 UTC","192.0.66.32","40","172.28.0.2","6","443","56716","845","0x0010"
"29","Mar 21, 2024 18:03:23.312108000 UTC","192.0.66.32","40","172.28.0.2","6","443","56716","846","0x0011"
"30","Mar 21, 2024 18:03:23.312193000 UTC","172.28.0.2","40","192.0.66.32","6","56716","443","5300","0x0010"
"31","Mar 21, 2024 18:04:44.275363000 UTC","172.28.0.2","60","192.0.66.32","6","57252","443","0","0x0002"
"32","Mar 21, 2024 18:04:44.288617000 UTC","192.0.66.32","52","172.28.0.2","6","443","57252","1","0x0012"
"33","Mar 21, 2024 18:04:44.288853000 UTC","172.28.0.2","40","192.0.66.32","6","57252","443","1","0x0010"
"34","Mar 21, 2024 18:04:44.291700000 UTC","172.28.0.2","557","192.0.66.32","6","57252","443","1","0x0018"
"35","Mar 21, 2024 18:04:44.304204000 UTC","192.0.66.32","40","172.28.0.2","6","443","57252","518","0x0010"
"36","Mar 21, 2024 18:04:44.304977000 UTC","192.0.66.32","2960","172.28.0.2","6","443","57252","518","0x0018"
