frame.number,frame.time,ip.src,ip.len,ip.dst,ip.proto,tcp.srcport,tcp.dstport,tcp.ack,tcp.flags
"1","Mar 21, 2024 18:07:22.411494000 UTC","172.28.0.2","60","185.79.236.174","6","54232","443","0","0x0002"
"2","Mar 21, 2024 18:07:22.539999000 UTC","185.79.236.174","60","172.28.0.2","6","443","54232","1","0x0012"
"3","Mar 21, 2024 18:07:22.540305000 UTC","172.28.0.2","52","185.79.236.174","6","54232","443","1","0x0010"
"4","Mar 21, 2024 18:07:22.544414000 UTC","172.28.0.2","569","185.79.236.174","6","54232","443","1","0x0018"
"5","Mar 21, 2024 18:07:22.672424000 UTC","185.79.236.174","52","172.28.0.2","6","443","54232","518","0x0010"
"6","Mar 21, 2024 18:07:22.673837000 UTC","185.79.236.174","3189","172.28.0.2","6","443","54232","518","0x0018"
"7","Mar 21, 2024 18:07:22.674061000 UTC","172.28.0.2","52","185.79.236.174","6","54232","443","3138","0x0010"
"8","Mar 21, 2024 18:07:22.676982000 UTC","172.28.0.2","132","185.79.236.174","6","54232","443","3138","0x0018"
"9","Mar 21, 2024 18:07:22.677359000 UTC","172.28.0.2","98","185.79.236.174","6","54232","443","3138","0x0018"
"10","Mar 21, 2024 18:07:22.677518000 UTC","172.28.0.2","101","185.79.236.174","6","54232","443","3138","0x0018"
"11","Mar 21, 2024 18:07:22.677631000 UTC","172.28.0.2","87","185.79.236.174","6","54232","443","3138","0x0018"
"12","Mar 21, 2024 18:07:22.677764000 UTC","172.28.0.2","111","185.79.236.174","6","54232","443","3138","0x0018"
"13","Mar 21, 2024 18:07:22.805102000 UTC","185.79.236.174","339","172.28.0.2","6","443","54232","598","0x0018"
"14","Mar 21, 2024 18:07:22.805343000 UTC","185.79.236.174","339","172.28.0.2","6","443","54232","644","0x0018"
"15","Mar 21, 2024 18:07:22.805344000 UTC","185.79.236.174","114","172.28.0.2","6","443","54232","644","0x0018"
"16","Mar 21, 2024 18:07:22.805345000 UTC","185.79.236.174","83","172.28.0.2","6","443","54232","693","0x0018"
"17","Mar 21, 2024 18:07:22.805711000 UTC","185.79.236.174","52","172.28.0.2","6","443","54232","787","0x0010"
"18","Mar 21, 2024 18:07:22.805828000 UTC","172.28.0.2","83","185.79.236.174","6","54232","443","3805","0x0018"
"19","Mar 21, 2024 18:07:22.806009000 UTC","185.79.236.174","8740","172.28.0.2","6","443","54232","787","0x0010"
"20","Mar 21, 2024 18:07:22.806138000 UTC","172.28.0.2","52","185.79.236.174","6","54232","443","12493","0x0010"
"21","Mar 21, 2024 18:07:22.934256000 UTC","185.79.236.174","29012","172.28.0.2","6","443","54232","818","0x0010"
"22","Mar 21, 2024 18:07:22.934709000 UTC","172.28.0.2","52","185.79.236.174","6","54232","443","41453","0x0010"
"23","Mar 21, 2024 18:07:23.062827000 UTC","185.79.236.174","34804","172.28.0.2","6","443","54232","818","0x0018"
"24","Mar 21, 2024 18:07:23.063232000 UTC","172.28.0.2","52","185.79.236.174","6","54232","443","76205","0x0010"
"25","Mar 21, 2024 18:07:23.063369000 UTC","185.79.236.174","23220","172.28.0.2","6","443","54232","818","0x0010"
"26","Mar 21, 2024 18:07:23.063579000 UTC","172.28.0.2","52","185.79.236.174","6","54232","443","99373","0x0010"
"27","Mar 21, 2024 18:07:23.191325000 UTC","185.79.236.174","56524","172.28.0.2","6","443","54232","818","0x0010"
"28","Mar 21, 2024 18:07:23.191896000 UTC","172.28.0.2","52","185.79.236.174","6","54232","443","155845","0x0010"
"29","Mar 21, 2024 18:07:23.192459000 UTC","185.79.236.174","13084","172.28.0.2","6","443","54232","818","0x0010"
"30","Mar 21, 2024 18:07:23.192619000 UTC","172.28.0.2","52","185.79.236.174","6","54232","443","168877","0x0010"
"31","Mar 21, 2024 18:07:23.192461000 UTC","185.79.236.174","2948","172.28.0.2","6","443","54232","818","0x0018"
"32","Mar 21, 2024 18:07:23.192736000 UTC","172.28.0.2","52","185.79.236.174","6","54232","443","171773","0x0010"
"33","Mar 21, 2024 18:07:23.192462000 UTC","185.79.236.174","11636","172.28.0.2","6","443","54232","818","0x0010"
"34","Mar 21, 2024 18:07:23.192865000 UTC","172.28.0.2","52","185.79.236.174","6","54232","443","183357","0x0010"
"35","Mar 21, 2024 18:07:23.319967000 UTC","185.79.236.174","23220","172.28.0.2","6","443","54232","818","0x0010"
"36","Mar 21, 2024 18:07:23.320332000 UTC","172.28.0.2","52","185.79.236.174","6","54232","443","206525","0x0010"
"37","Mar 21, 2024 18:07:23.320470000 UTC","185.79.236.174","56524","172.28.0.2","6","443","54232","818","0x0010"
"38","Mar 21, 2024 18:07:23.320863000 UTC","172.28.0.2","52","185.79.236.174","6","54232","443","262997","0x0010"
"39","Mar 21, 2024 18:07:23.320471000 UTC","185.79.236.174","56524","172.28.0.2","6","443","54232","818","0x0010"
"40","Mar 21, 2024 18:07:23.320472000 UTC","185.79.236.174","8740","172.28.0.2","6","443","54232","818","0x0010"
"41","Mar 21, 2024 18:07:23.321546000 UTC","185.79.236.174","31908","172.28.0.2","6","443","54232","818","0x0010"
"42","Mar 21, 2024 18:07:23.321548000 UTC","185.79.236.174","21772","172.28.0.2","6","443","54232","818","0x0010"
"43","Mar 21, 2024 18:07:23.322348000 UTC","172.28.0.2","52","185.79.236.174","6","54232","443","381733","0x0010"
"44","Mar 21, 2024 18:07:23.448196000 UTC","185.79.236.174","6928","172.28.0.2","6","443","54232","818","0x0018"
"45","Mar 21, 2024 18:07:23.448544000 UTC","172.28.0.2","52","185.79.236.174","6","54232","443","388609","0x0010"
"46","Mar 21, 2024 18:07:23.449108000 UTC","172.28.0.2","76","185.79.236.174","6","54232","443","388609","0x0018"
"47","Mar 21, 2024 18:07:23.449316000 UTC","172.28.0.2","52","185.79.236.174","6","54232","443","388609","0x0011"
"48","Mar 21, 2024 18:07:23.577092000 UTC","185.79.236.174","52","172.28.0.2","6","443","54232","842","0x0011"
"49","Mar 21, 2024 18:07:23.577327000 UTC","172.28.0.2","52","185.79.236.174","6","54232","443","388610","0x0010"
"50","Mar 21, 2024 18:07:23.577428000 UTC","185.79.236.174","52","172.28.0.2","6","443","54232","843","0x0010"
