frame.number,frame.time,ip.src,ip.len,ip.dst,ip.proto,tcp.srcport,tcp.dstport,tcp.ack,tcp.flags
"1","Mar 21, 2024 17:56:22.127835000 UTC","172.28.0.2","60","192.0.66.32","6","46438","443","0","0x0002"
"2","Mar 21, 2024 17:56:22.140561000 UTC","192.0.66.32","52","172.28.0.2","6","443","46438","1","0x0012"
"3","Mar 21, 2024 17:56:22.140736000 UTC","172.28.0.2","40","192.0.66.32","6","46438","443","1","0x0010"
"4","Mar 21, 2024 17:56:22.143687000 UTC","172.28.0.2","557","192.0.66.32","6","46438","443","1","0x0018"
"5","Mar 21, 2024 17:56:22.155878000 UTC","192.0.66.32","40","172.28.0.2","6","443","46438","518","0x0010"
"6","Mar 21, 2024 17:56:22.156873000 UTC","192.0.66.32","2960","172.28.0.2","6","443","46438","518","0x0018"
"7","Mar 21, 2024 17:56:22.156998000 UTC","172.28.0.2","40","192.0.66.32","6","46438","443","2921","0x0010"
"8","Mar 21, 2024 17:56:22.157056000 UTC","192.0.66.32","1216","172.28.0.2","6","443","46438","518","0x0018"
"9","Mar 21, 2024 17:56:22.157115000 UTC","172.28.0.2","40","192.0.66.32","6","46438","443","4097","0x0010"
"10","Mar 21, 2024 17:56:22.157057000 UTC","192.0.66.32","90","172.28.0.2","6","443","46438","518","0x0018"
"11","Mar 21, 2024 17:56:22.157165000 UTC","172.28.0.2","40","192.0.66.32","6","46438","443","4147","0x0010"
"12","Mar 21, 2024 17:56:22.159696000 UTC","172.28.0.2","120","192.0.66.32","6","46438","443","4147","0x0018"
"13","Mar 21, 2024 17:56:22.159966000 UTC","172.28.0.2","86","192.0.66.32","6","46438","443","4147","0x0018"
"14","Mar 21, 2024 17:56:22.160021000 UTC","172.28.0.2","89","192.0.66.32","6","46438","443","4147","0x0018"
"15","Mar 21, 2024 17:56:22.160061000 UTC","172.28.0.2","75","192.0.66.32","6","46438","443","4147","0x0018"
"16","Mar 21, 2024 17:56:22.160119000 UTC","172.28.0.2","102","192.0.66.32","6","46438","443","4147","0x0018"
"17","Mar 21, 2024 17:56:22.171865000 UTC","192.0.66.32","327","172.28.0.2","6","443","46438","598","0x0018"
"18","Mar 21, 2024 17:56:22.171867000 UTC","192.0.66.32","327","172.28.0.2","6","443","46438","598","0x0018"
"19","Mar 21, 2024 17:56:22.172072000 UTC","192.0.66.32","102","172.28.0.2","6","443","46438","644","0x0018"
"20","Mar 21, 2024 17:56:22.172073000 UTC","192.0.66.32","40","172.28.0.2","6","443","46438","790","0x0010"
"21","Mar 21, 2024 17:56:22.172151000 UTC","192.0.66.32","71","172.28.0.2","6","443","46438","790","0x0018"
"22","Mar 21, 2024 17:56:22.172224000 UTC","192.0.66.32","526","172.28.0.2","6","443","46438","790","0x0018"
"23","Mar 21, 2024 17:56:22.172471000 UTC","172.28.0.2","71","192.0.66.32","6","46438","443","5300","0x0018"
"24","Mar 21, 2024 17:56:22.172927000 UTC","172.28.0.2","64","192.0.66.32","6","46438","443","5300","0x0018"
"25","Mar 21, 2024 17:56:22.173064000 UTC","172.28.0.2","40","192.0.66.32","6","46438","443","5300","0x0011"
"26","Mar 21, 2024 17:56:22.185011000 UTC","192.0.66.32","40","172.28.0.2","6","443","46438","846","0x0010"
"27","Mar 21, 2024 17:56:22.185167000 UTC","192.0.66.32","40","172.28.0.2","6","443","46438","846","0x0011"
"28","Mar 21, 2024 17:56:22.185208000 UTC","172.28.0.2","40","192.0.66.32","6","46438","443","5301","0x0010"
