frame.number,frame.time,ip.src,ip.len,ip.dst,ip.proto,tcp.srcport,tcp.dstport,tcp.ack,tcp.flags
"1","Mar 21, 2024 17:57:42.839945000 UTC","172.28.0.2","60","23.222.194.25","6","35852","443","0","0x0002"
"2","Mar 21, 2024 17:57:42.857834000 UTC","23.222.194.25","60","172.28.0.2","6","443","35852","1","0x0012"
"3","Mar 21, 2024 17:57:42.858010000 UTC","172.28.0.2","52","23.222.194.25","6","35852","443","1","0x0010"
"4","Mar 21, 2024 17:57:42.860796000 UTC","172.28.0.2","569","23.222.194.25","6","35852","443","1","0x0018"
"5","Mar 21, 2024 17:57:42.877981000 UTC","23.222.194.25","52","172.28.0.2","6","443","35852","518","0x0010"
"6","Mar 21, 2024 17:57:42.878666000 UTC","23.222.194.25","2948","172.28.0.2","6","443","35852","518","0x0018"
"7","Mar 21, 2024 17:57:42.878733000 UTC","172.28.0.2","52","23.222.194.25","6","35852","443","2897","0x0010"
"8","Mar 21, 2024 17:57:42.878667000 UTC","23.222.194.25","1252","172.28.0.2","6","443","35852","518","0x0018"
"9","Mar 21, 2024 17:57:42.878785000 UTC","172.28.0.2","52","23.222.194.25","6","35852","443","4097","0x0010"
"10","Mar 21, 2024 17:57:42.878887000 UTC","23.222.194.25","1225","172.28.0.2","6","443","35852","518","0x0018"
"11","Mar 21, 2024 17:57:42.878924000 UTC","172.28.0.2","52","23.222.194.25","6","35852","443","5270","0x0010"
"12","Mar 21, 2024 17:57:42.880933000 UTC","172.28.0.2","132","23.222.194.25","6","35852","443","5270","0x0018"
"13","Mar 21, 2024 17:57:42.881138000 UTC","172.28.0.2","98","23.222.194.25","6","35852","443","5270","0x0018"
"14","Mar 21, 2024 17:57:42.881190000 UTC","172.28.0.2","101","23.222.194.25","6","35852","443","5270","0x0018"
"15","Mar 21, 2024 17:57:42.881228000 UTC","172.28.0.2","87","23.222.194.25","6","35852","443","5270","0x0018"
"16","Mar 21, 2024 17:57:42.881286000 UTC","172.28.0.2","114","23.222.194.25","6","35852","443","5270","0x0018"
"17","Mar 21, 2024 17:57:42.898077000 UTC","23.222.194.25","339","172.28.0.2","6","443","35852","598","0x0018"
"18","Mar 21, 2024 17:57:42.898080000 UTC","23.222.194.25","339","172.28.0.2","6","443","35852","598","0x0018"
"19","Mar 21, 2024 17:57:42.898324000 UTC","23.222.194.25","52","172.28.0.2","6","443","35852","790","0x0010"
"20","Mar 21, 2024 17:57:42.898584000 UTC","172.28.0.2","52","23.222.194.25","6","35852","443","5844","0x0010"
"21","Mar 21, 2024 17:57:42.904361000 UTC","23.222.194.25","113","172.28.0.2","6","443","35852","790","0x0018"
"22","Mar 21, 2024 17:57:42.904363000 UTC","23.222.194.25","83","172.28.0.2","6","443","35852","790","0x0018"
"23","Mar 21, 2024 17:57:42.904694000 UTC","172.28.0.2","83","23.222.194.25","6","35852","443","5936","0x0018"
"24","Mar 21, 2024 17:57:42.963415000 UTC","23.222.194.25","52","172.28.0.2","6","443","35852","821","0x0010"
"25","Mar 21, 2024 17:57:43.076584000 UTC","23.222.194.25","347","172.28.0.2","6","443","35852","821","0x0018"
"26","Mar 21, 2024 17:57:43.076588000 UTC","23.222.194.25","2948","172.28.0.2","6","443","35852","821","0x0018"
"27","Mar 21, 2024 17:57:43.076589000 UTC","23.222.194.25","2948","172.28.0.2","6","443","35852","821","0x0018"
"28","Mar 21, 2024 17:57:43.076590000 UTC","23.222.194.25","2948","172.28.0.2","6","443","35852","821","0x0018"
"29","Mar 21, 2024 17:57:43.076591000 UTC","23.222.194.25","2948","172.28.0.2","6","443","35852","821","0x0018"
"30","Mar 21, 2024 17:57:43.076980000 UTC","172.28.0.2","52","23.222.194.25","6","35852","443","17815","0x0010"
"31","Mar 21, 2024 17:57:43.077241000 UTC","23.222.194.25","2948","172.28.0.2","6","443","35852","821","0x0018"
"32","Mar 21, 2024 17:57:43.077329000 UTC","172.28.0.2","52","23.222.194.25","6","35852","443","20711","0x0010"
"33","Mar 21, 2024 17:57:43.078101000 UTC","23.222.194.25","1978","172.28.0.2","6","443","35852","821","0x0018"
"34","Mar 21, 2024 17:57:43.078171000 UTC","172.28.0.2","52","23.222.194.25","6","35852","443","22637","0x0010"
"35","Mar 21, 2024 17:57:43.078714000 UTC","23.222.194.25","2948","172.28.0.2","6","443","35852","821","0x0018"
"36","Mar 21, 2024 17:57:43.078798000 UTC","172.28.0.2","52","23.222.194.25","6","35852","443","25533","0x0010"
"37","Mar 21, 2024 17:57:43.079566000 UTC","23.222.194.25","2948","172.28.0.2","6","443","35852","821","0x0018"
"38","Mar 21, 2024 17:57:43.079631000 UTC","172.28.0.2","52","23.222.194.25","6","35852","443","28429","0x0010"
"39","Mar 21, 2024 17:57:43.080365000 UTC","23.222.194.25","2948","172.28.0.2","6","443","35852","821","0x0018"
"40","Mar 21, 2024 17:57:43.080445000 UTC","172.28.0.2","52","23.222.194.25","6","35852","443","31325","0x0010"
"41","Mar 21, 2024 17:57:43.081825000 UTC","23.222.194.25","1500","172.28.0.2","6","443","35852","821","0x0010"
"42","Mar 21, 2024 17:57:43.081909000 UTC","172.28.0.2","52","23.222.194.25","6","35852","443","32773","0x0010"
"43","Mar 21, 2024 17:57:43.093965000 UTC","23.222.194.25","2948","172.28.0.2","6","443","35852","821","0x0018"
"44","Mar 21, 2024 17:57:43.094125000 UTC","172.28.0.2","52","23.222.194.25","6","35852","443","35669","0x0010"
"45","Mar 21, 2024 17:57:43.094310000 UTC","23.222.194.25","2948","172.28.0.2","6","443","35852","821","0x0018"
"46","Mar 21, 2024 17:57:43.094353000 UTC","172.28.0.2","52","23.222.194.25","6","35852","443","38565","0x0010"
"47","Mar 21, 2024 17:57:43.095182000 UTC","23.222.194.25","2948","172.28.0.2","6","443","35852","821","0x0018"
"48","Mar 21, 2024 17:57:43.095242000 UTC","172.28.0.2","52","23.222.194.25","6","35852","443","41461","0x0010"
"49","Mar 21, 2024 17:57:43.096023000 UTC","23.222.194.25","2948","172.28.0.2","6","443","35852","821","0x0018"
"50","Mar 21, 2024 17:57:43.096075000 UTC","172.28.0.2","52","23.222.194.25","6","35852","443","44357","0x0010"
"51","Mar 21, 2024 17:57:43.096869000 UTC","23.222.194.25","2948","172.28.0.2","6","443","35852","821","0x0018"
"52","Mar 21, 2024 17:57:43.096906000 UTC","172.28.0.2","52","23.222.194.25","6","35852","443","47253","0x0010"
"53","Mar 21, 2024 17:57:43.097687000 UTC","23.222.194.25","2948","172.28.0.2","6","443","35852","821","0x0018"
"54","Mar 21, 2024 17:57:43.097727000 UTC","172.28.0.2","52","23.222.194.25","6","35852","443","50149","0x0010"
"55","Mar 21, 2024 17:57:43.098518000 UTC","23.222.194.25","2948","172.28.0.2","6","443","35852","821","0x0018"
"56","Mar 21, 2024 17:57:43.098589000 UTC","172.28.0.2","52","23.222.194.25","6","35852","443","53045","0x0010"
"57","Mar 21, 2024 17:57:43.099405000 UTC","23.222.194.25","2549","172.28.0.2","6","443","35852","821","0x0018"
"58","Mar 21, 2024 17:57:43.099465000 UTC","172.28.0.2","52","23.222.194.25","6","35852","443","55542","0x0010"
"59","Mar 21, 2024 17:57:43.100033000 UTC","23.222.194.25","2948","172.28.0.2","6","443","35852","821","0x0018"
"60","Mar 21, 2024 17:57:43.100083000 UTC","172.28.0.2","52","23.222.194.25","6","35852","443","58438","0x0010"
"61","Mar 21, 2024 17:57:43.100797000 UTC","23.222.194.25","751","172.28.0.2","6","443","35852","821","0x0018"
"62","Mar 21, 2024 17:57:43.112904000 UTC","23.222.194.25","2948","172.28.0.2","6","443","35852","821","0x0018"
"63","Mar 21, 2024 17:57:43.113064000 UTC","172.28.0.2","52","23.222.194.25","6","35852","443","62033","0x0010"
"64","Mar 21, 2024 17:57:43.113214000 UTC","23.222.194.25","2948","172.28.0.2","6","443","35852","821","0x0018"
"65","Mar 21, 2024 17:57:43.113254000 UTC","172.28.0.2","52","23.222.194.25","6","35852","443","64929","0x0010"
"66","Mar 21, 2024 17:57:43.114175000 UTC","23.222.194.25","2948","172.28.0.2","6","443","35852","821","0x0018"
"67","Mar 21, 2024 17:57:43.114221000 UTC","172.28.0.2","52","23.222.194.25","6","35852","443","67825","0x0010"
"68","Mar 21, 2024 17:57:43.114756000 UTC","23.222.194.25","2948","172.28.0.2","6","443","35852","821","0x0018"
"69","Mar 21, 2024 17:57:43.114808000 UTC","172.28.0.2","52","23.222.194.25","6","35852","443","70721","0x0010"
"70","Mar 21, 2024 17:57:43.115572000 UTC","23.222.194.25","2948","172.28.0.2","6","443","35852","821","0x0018"
"71","Mar 21, 2024 17:57:43.115636000 UTC","172.28.0.2","52","23.222.194.25","6","35852","443","73617","0x0010"
"72","Mar 21, 2024 17:57:43.116250000 UTC","23.222.194.25","2948","172.28.0.2","6","443","35852","821","0x0018"
"73","Mar 21, 2024 17:57:43.116303000 UTC","172.28.0.2","52","23.222.194.25","6","35852","443","76513","0x0010"
"74","Mar 21, 2024 17:57:43.117126000 UTC","23.222.194.25","2948","172.28.0.2","6","443","35852","821","0x0018"
"75","Mar 21, 2024 17:57:43.117200000 UTC","172.28.0.2","52","23.222.194.25","6","35852","443","79409","0x0010"
"76","Mar 21, 2024 17:57:43.117826000 UTC","23.222.194.25","2948","172.28.0.2","6","443","35852","821","0x0018"
"77","Mar 21, 2024 17:57:43.117873000 UTC","172.28.0.2","52","23.222.194.25","6","35852","443","82305","0x0010"
"78","Mar 21, 2024 17:57:43.118583000 UTC","23.222.194.25","2948","172.28.0.2","6","443","35852","821","0x0018"
"79","Mar 21, 2024 17:57:43.118632000 UTC","172.28.0.2","52","23.222.194.25","6","35852","443","85201","0x0010"
"80","Mar 21, 2024 17:57:43.119352000 UTC","23.222.194.25","2948","172.28.0.2","6","443","35852","821","0x0018"
"81","Mar 21, 2024 17:57:43.119412000 UTC","172.28.0.2","52","23.222.194.25","6","35852","443","88097","0x0010"
"82","Mar 21, 2024 17:57:43.120064000 UTC","23.222.194.25","2948","172.28.0.2","6","443","35852","821","0x0018"
"83","Mar 21, 2024 17:57:43.120114000 UTC","172.28.0.2","52","23.222.194.25","6","35852","443","90993","0x0010"
"84","Mar 21, 2024 17:57:43.120762000 UTC","23.222.194.25","2948","172.28.0.2","6","443","35852","821","0x0018"
"85","Mar 21, 2024 17:57:43.120822000 UTC","172.28.0.2","52","23.222.194.25","6","35852","443","93889","0x0010"
"86","Mar 21, 2024 17:57:43.121537000 UTC","23.222.194.25","2948","172.28.0.2","6","443","35852","821","0x0018"
"87","Mar 21, 2024 17:57:43.121600000 UTC","172.28.0.2","52","23.222.194.25","6","35852","443","96785","0x0010"
"88","Mar 21, 2024 17:57:43.122390000 UTC","23.222.194.25","2948","172.28.0.2","6","443","35852","821","0x0018"
"89","Mar 21, 2024 17:57:43.122462000 UTC","172.28.0.2","52","23.222.194.25","6","35852","443","99681","0x0010"
"90","Mar 21, 2024 17:57:43.123095000 UTC","23.222.194.25","2948","172.28.0.2","6","443","35852","821","0x0018"
"91","Mar 21, 2024 17:57:43.123163000 UTC","172.28.0.2","52","23.222.194.25","6","35852","443","102577","0x0010"
