frame.number,frame.time,ip.src,ip.len,ip.dst,ip.proto,tcp.srcport,tcp.dstport,tcp.ack,tcp.flags
"1","Mar 21, 2024 17:54:52.471449000 UTC","172.28.0.2","60","192.0.66.32","6","49864","443","0","0x0002"
"2","Mar 21, 2024 17:54:52.484114000 UTC","192.0.66.32","52","172.28.0.2","6","443","49864","1","0x0012"
"3","Mar 21, 2024 17:54:52.484261000 UTC","172.28.0.2","40","192.0.66.32","6","49864","443","1","0x0010"
"4","Mar 21, 2024 17:54:52.487905000 UTC","172.28.0.2","557","192.0.66.32","6","49864","443","1","0x0018"
"5","Mar 21, 2024 17:54:52.500089000 UTC","192.0.66.32","40","172.28.0.2","6","443","49864","518","0x0010"
"6","Mar 21, 2024 17:54:52.501282000 UTC","192.0.66.32","2960","172.28.0.2","6","443","49864","518","0x0018"
"7","Mar 21, 2024 17:54:52.501481000 UTC","172.28.0.2","40","192.0.66.32","6","49864","443","2921","0x0010"
"8","Mar 21, 2024 17:54:52.501285000 UTC","192.0.66.32","1216","172.28.0.2","6","443","49864","518","0x0018"
"9","Mar 21, 2024 17:54:52.501539000 UTC","172.28.0.2","40","192.0.66.32","6","49864","443","4097","0x0010"
"10","Mar 21, 2024 17:54:52.501286000 UTC","192.0.66.32","88","172.28.0.2","6","443","49864","518","0x0018"
"11","Mar 21, 2024 17:54:52.501793000 UTC","172.28.0.2","40","192.0.66.32","6","49864","443","4145","0x0010"
"12","Mar 21, 2024 17:54:52.505068000 UTC","172.28.0.2","120","192.0.66.32","6","49864","443","4145","0x0018"
"13","Mar 21, 2024 17:54:52.505315000 UTC","172.28.0.2","86","192.0.66.32","6","49864","443","4145","0x0018"
"14","Mar 21, 2024 17:54:52.505403000 UTC","172.28.0.2","89","192.0.66.32","6","49864","443","4145","0x0018"
"15","Mar 21, 2024 17:54:52.505461000 UTC","172.28.0.2","75","192.0.66.32","6","49864","443","4145","0x0018"
"16","Mar 21, 2024 17:54:52.505530000 UTC","172.28.0.2","102","192.0.66.32","6","49864","443","4145","0x0018"
"17","Mar 21, 2024 17:54:52.517484000 UTC","192.0.66.32","327","172.28.0.2","6","443","49864","598","0x0018"
"18","Mar 21, 2024 17:54:52.517486000 UTC","192.0.66.32","327","172.28.0.2","6","443","49864","644","0x0018"
"19","Mar 21, 2024 17:54:52.517487000 UTC","192.0.66.32","102","172.28.0.2","6","443","49864","644","0x0018"
"20","Mar 21, 2024 17:54:52.517488000 UTC","192.0.66.32","71","172.28.0.2","6","443","49864","693","0x0018"
"21","Mar 21, 2024 17:54:52.517731000 UTC","192.0.66.32","40","172.28.0.2","6","443","49864","790","0x0010"
"22","Mar 21, 2024 17:54:52.517934000 UTC","192.0.66.32","528","172.28.0.2","6","443","49864","790","0x0018"
"23","Mar 21, 2024 17:54:52.518018000 UTC","172.28.0.2","71","192.0.66.32","6","49864","443","5300","0x0018"
"24","Mar 21, 2024 17:54:52.518449000 UTC","172.28.0.2","64","192.0.66.32","6","49864","443","5300","0x0018"
"25","Mar 21, 2024 17:54:52.518582000 UTC","172.28.0.2","40","192.0.66.32","6","49864","443","5300","0x0011"
"26","Mar 21, 2024 17:54:52.530622000 UTC","192.0.66.32","40","172.28.0.2","6","443","49864","845","0x0010"
"27","Mar 21, 2024 17:54:52.531034000 UTC","192.0.66.32","40","172.28.0.2","6","443","49864","846","0x0011"
"28","Mar 21, 2024 17:54:52.531194000 UTC","172.28.0.2","40","192.0.66.32","6","49864","443","5301","0x0010"
