frame.number,frame.time,ip.src,ip.len,ip.dst,ip.proto,tcp.srcport,tcp.dstport,tcp.ack,tcp.flags
"1","Mar 21, 2024 18:03:44.741736000 UTC","172.28.0.2","60","104.110.137.231","6","33240","443","0","0x0002"
"2","Mar 21, 2024 18:03:44.753504000 UTC","104.110.137.231","60","172.28.0.2","6","443","33240","1","0x0012"
"3","Mar 21, 2024 18:03:44.753750000 UTC","172.28.0.2","52","104.110.137.231","6","33240","443","1","0x0010"
"4","Mar 21, 2024 18:03:44.757846000 UTC","172.28.0.2","569","104.110.137.231","6","33240","443","1","0x0018"
"5","Mar 21, 2024 18:03:44.768977000 UTC","104.110.137.231","52","172.28.0.2","6","443","33240","518","0x0010"
"6","Mar 21, 2024 18:03:44.770892000 UTC","104.110.137.231","2948","172.28.0.2","6","443","33240","518","0x0018"
"7","Mar 21, 2024 18:03:44.771066000 UTC","172.28.0.2","52","104.110.137.231","6","33240","443","2897","0x0010"
"8","Mar 21, 2024 18:03:44.770894000 UTC","104.110.137.231","1164","172.28.0.2","6","443","33240","518","0x0018"
"9","Mar 21, 2024 18:03:44.771142000 UTC","172.28.0.2","52","104.110.137.231","6","33240","443","4009","0x0010"
"10","Mar 21, 2024 18:03:44.774259000 UTC","172.28.0.2","132","104.110.137.231","6","33240","443","4009","0x0018"
"11","Mar 21, 2024 18:03:44.774705000 UTC","172.28.0.2","98","104.110.137.231","6","33240","443","4009","0x0018"
"12","Mar 21, 2024 18:03:44.774841000 UTC","172.28.0.2","101","104.110.137.231","6","33240","443","4009","0x0018"
"13","Mar 21, 2024 18:03:44.774925000 UTC","172.28.0.2","87","104.110.137.231","6","33240","443","4009","0x0018"
"14","Mar 21, 2024 18:03:44.775031000 UTC","172.28.0.2","119","104.110.137.231","6","33240","443","4009","0x0018"
"15","Mar 21, 2024 18:03:44.801072000 UTC","104.110.137.231","339","172.28.0.2","6","443","33240","795","0x0018"
"16","Mar 21, 2024 18:03:44.801290000 UTC","104.110.137.231","339","172.28.0.2","6","443","33240","795","0x0018"
"17","Mar 21, 2024 18:03:44.801601000 UTC","172.28.0.2","52","104.110.137.231","6","33240","443","4583","0x0010"
