frame.number,frame.time,ip.src,ip.len,ip.dst,ip.proto,tcp.srcport,tcp.dstport,tcp.ack,tcp.flags
"1","Mar 21, 2024 18:03:37.600553000 UTC","172.28.0.2","60","23.79.38.25","6","40852","443","0","0x0002"
"2","Mar 21, 2024 18:03:37.611468000 UTC","23.79.38.25","60","172.28.0.2","6","443","40852","1","0x0012"
"3","Mar 21, 2024 18:03:37.611704000 UTC","172.28.0.2","52","23.79.38.25","6","40852","443","1","0x0010"
"4","Mar 21, 2024 18:03:37.615865000 UTC","172.28.0.2","569","23.79.38.25","6","40852","443","1","0x0018"
"5","Mar 21, 2024 18:03:37.626783000 UTC","23.79.38.25","52","172.28.0.2","6","443","40852","518","0x0010"
"6","Mar 21, 2024 18:03:37.627125000 UTC","23.79.38.25","2948","172.28.0.2","6","443","40852","518","0x0018"
"7","Mar 21, 2024 18:03:37.627212000 UTC","172.28.0.2","52","23.79.38.25","6","40852","443","2897","0x0010"
"8","Mar 21, 2024 18:03:37.627127000 UTC","23.79.38.25","1252","172.28.0.2","6","443","40852","518","0x0018"
"9","Mar 21, 2024 18:03:37.627308000 UTC","172.28.0.2","52","23.79.38.25","6","40852","443","4097","0x0010"
"10","Mar 21, 2024 18:03:37.628044000 UTC","23.79.38.25","1395","172.28.0.2","6","443","40852","518","0x0018"
"11","Mar 21, 2024 18:03:37.628133000 UTC","172.28.0.2","52","23.79.38.25","6","40852","443","5440","0x0010"
"12","Mar 21, 2024 18:03:37.631233000 UTC","172.28.0.2","178","23.79.38.25","6","40852","443","5440","0x0018"
"13","Mar 21, 2024 18:03:37.645975000 UTC","23.79.38.25","103","172.28.0.2","6","443","40852","644","0x0018"
"14","Mar 21, 2024 18:03:37.646498000 UTC","172.28.0.2","105","23.79.38.25","6","40852","443","5491","0x0018"
"15","Mar 21, 2024 18:03:37.646625000 UTC","172.28.0.2","108","23.79.38.25","6","40852","443","5491","0x0018"
"16","Mar 21, 2024 18:03:37.646696000 UTC","172.28.0.2","94","23.79.38.25","6","40852","443","5491","0x0018"
"17","Mar 21, 2024 18:03:37.646796000 UTC","172.28.0.2","123","23.79.38.25","6","40852","443","5491","0x0018"
"18","Mar 21, 2024 18:03:37.657319000 UTC","23.79.38.25","52","172.28.0.2","6","443","40852","753","0x0010"
"19","Mar 21, 2024 18:03:37.657321000 UTC","23.79.38.25","120","172.28.0.2","6","443","40852","753","0x0018"
"20","Mar 21, 2024 18:03:37.657323000 UTC","23.79.38.25","90","172.28.0.2","6","443","40852","753","0x0018"
"21","Mar 21, 2024 18:03:37.657676000 UTC","23.79.38.25","52","172.28.0.2","6","443","40852","866","0x0010"
"22","Mar 21, 2024 18:03:37.657821000 UTC","172.28.0.2","90","23.79.38.25","6","40852","443","5597","0x0018"
"23","Mar 21, 2024 18:03:37.679663000 UTC","23.79.38.25","602","172.28.0.2","6","443","40852","904","0x0018"
"24","Mar 21, 2024 18:03:37.679666000 UTC","23.79.38.25","358","172.28.0.2","6","443","40852","904","0x0018"
"25","Mar 21, 2024 18:03:37.680152000 UTC","172.28.0.2","52","23.79.38.25","6","40852","443","6453","0x0010"
"26","Mar 21, 2024 18:03:37.682477000 UTC","172.28.0.2","83","23.79.38.25","6","40852","443","6453","0x0018"
"27","Mar 21, 2024 18:03:37.682744000 UTC","172.28.0.2","52","23.79.38.25","6","40852","443","6453","0x0011"
"28","Mar 21, 2024 18:03:37.693961000 UTC","23.79.38.25","83","172.28.0.2","6","443","40852","936","0x0018"
"29","Mar 21, 2024 18:03:37.694169000 UTC","172.28.0.2","40","23.79.38.25","6","40852","443","0","0x0004"
"30","Mar 21, 2024 18:03:37.693963000 UTC","23.79.38.25","52","172.28.0.2","6","443","40852","936","0x0011"
"31","Mar 21, 2024 18:03:37.694246000 UTC","172.28.0.2","40","23.79.38.25","6","40852","443","0","0x0004"
