frame.number,frame.time,ip.src,ip.len,ip.dst,ip.proto,tcp.srcport,tcp.dstport,tcp.ack,tcp.flags
"1","Mar 21, 2024 18:04:58.447363000 UTC","172.28.0.2","60","23.45.148.131","6","60000","443","0","0x0002"
"2","Mar 21, 2024 18:04:58.465420000 UTC","23.45.148.131","60","172.28.0.2","6","443","60000","1","0x0012"
"3","Mar 21, 2024 18:04:58.465674000 UTC","172.28.0.2","52","23.45.148.131","6","60000","443","1","0x0010"
"4","Mar 21, 2024 18:04:58.469823000 UTC","172.28.0.2","569","23.45.148.131","6","60000","443","1","0x0018"
"5","Mar 21, 2024 18:04:58.487137000 UTC","23.45.148.131","52","172.28.0.2","6","443","60000","518","0x0010"
"6","Mar 21, 2024 18:04:58.488749000 UTC","23.45.148.131","2948","172.28.0.2","6","443","60000","518","0x0018"
"7","Mar 21, 2024 18:04:58.489005000 UTC","172.28.0.2","52","23.45.148.131","6","60000","443","2897","0x0010"
"8","Mar 21, 2024 18:04:58.488751000 UTC","23.45.148.131","1252","172.28.0.2","6","443","60000","518","0x0018"
"9","Mar 21, 2024 18:04:58.489148000 UTC","172.28.0.2","52","23.45.148.131","6","60000","443","4097","0x0010"
"10","Mar 21, 2024 18:04:58.488753000 UTC","23.45.148.131","162","172.28.0.2","6","443","60000","518","0x0018"
"11","Mar 21, 2024 18:04:58.489254000 UTC","172.28.0.2","52","23.45.148.131","6","60000","443","4207","0x0010"
"12","Mar 21, 2024 18:04:58.492876000 UTC","172.28.0.2","132","23.45.148.131","6","60000","443","4207","0x0018"
"13","Mar 21, 2024 18:04:58.493349000 UTC","172.28.0.2","98","23.45.148.131","6","60000","443","4207","0x0018"
"14","Mar 21, 2024 18:04:58.493638000 UTC","172.28.0.2","101","23.45.148.131","6","60000","443","4207","0x0018"
"15","Mar 21, 2024 18:04:58.493753000 UTC","172.28.0.2","87","23.45.148.131","6","60000","443","4207","0x0018"
"16","Mar 21, 2024 18:04:58.493872000 UTC","172.28.0.2","114","23.45.148.131","6","60000","443","4207","0x0018"
"17","Mar 21, 2024 18:04:58.510377000 UTC","23.45.148.131","339","172.28.0.2","6","443","60000","598","0x0018"
"18","Mar 21, 2024 18:04:58.510380000 UTC","23.45.148.131","339","172.28.0.2","6","443","60000","598","0x0018"
"19","Mar 21, 2024 18:04:58.510902000 UTC","172.28.0.2","52","23.45.148.131","6","60000","443","4781","0x0010"
"20","Mar 21, 2024 18:04:58.511627000 UTC","23.45.148.131","113","172.28.0.2","6","443","60000","790","0x0018"
"21","Mar 21, 2024 18:04:58.511823000 UTC","172.28.0.2","83","23.45.148.131","6","60000","443","4842","0x0018"
"22","Mar 21, 2024 18:04:58.511916000 UTC","23.45.148.131","83","172.28.0.2","6","443","60000","790","0x0018"
"23","Mar 21, 2024 18:04:58.525910000 UTC","23.45.148.131","561","172.28.0.2","6","443","60000","790","0x0018"
"24","Mar 21, 2024 18:04:58.525915000 UTC","23.45.148.131","2948","172.28.0.2","6","443","60000","790","0x0018"
"25","Mar 21, 2024 18:04:58.525916000 UTC","23.45.148.131","2948","172.28.0.2","6","443","60000","790","0x0018"
"26","Mar 21, 2024 18:04:58.526391000 UTC","172.28.0.2","52","23.45.148.131","6","60000","443","11174","0x0010"
"27","Mar 21, 2024 18:04:58.526624000 UTC","23.45.148.131","1500","172.28.0.2","6","443","60000","790","0x0010"
"28","Mar 21, 2024 18:04:58.526743000 UTC","172.28.0.2","52","23.45.148.131","6","60000","443","12622","0x0010"
"29","Mar 21, 2024 18:04:58.526626000 UTC","23.45.148.131","1500","172.28.0.2","6","443","60000","790","0x0018"
"30","Mar 21, 2024 18:04:58.526873000 UTC","172.28.0.2","52","23.45.148.131","6","60000","443","14070","0x0010"
"31","Mar 21, 2024 18:04:58.526628000 UTC","23.45.148.131","2948","172.28.0.2","6","443","60000","790","0x0018"
"32","Mar 21, 2024 18:04:58.527022000 UTC","23.45.148.131","2948","172.28.0.2","6","443","60000","790","0x0018"
"33","Mar 21, 2024 18:04:58.527159000 UTC","172.28.0.2","52","23.45.148.131","6","60000","443","19862","0x0010"
"34","Mar 21, 2024 18:04:58.527937000 UTC","23.45.148.131","2948","172.28.0.2","6","443","60000","790","0x0018"
"35","Mar 21, 2024 18:04:58.528086000 UTC","172.28.0.2","52","23.45.148.131","6","60000","443","22758","0x0010"
"36","Mar 21, 2024 18:04:58.528567000 UTC","23.45.148.131","2948","172.28.0.2","6","443","60000","790","0x0018"
"37","Mar 21, 2024 18:04:58.528674000 UTC","172.28.0.2","52","23.45.148.131","6","60000","443","25654","0x0010"
"38","Mar 21, 2024 18:04:58.529584000 UTC","23.45.148.131","2948","172.28.0.2","6","443","60000","821","0x0018"
"39","Mar 21, 2024 18:04:58.529694000 UTC","172.28.0.2","52","23.45.148.131","6","60000","443","28550","0x0010"
"40","Mar 21, 2024 18:04:58.540449000 UTC","23.45.148.131","1500","172.28.0.2","6","443","60000","821","0x0010"
"41","Mar 21, 2024 18:04:58.540697000 UTC","172.28.0.2","52","23.45.148.131","6","60000","443","29998","0x0010"
"42","Mar 21, 2024 18:04:58.543700000 UTC","23.45.148.131","2948","172.28.0.2","6","443","60000","821","0x0018"
"43","Mar 21, 2024 18:04:58.543943000 UTC","172.28.0.2","52","23.45.148.131","6","60000","443","32894","0x0010"
"44","Mar 21, 2024 18:04:58.544157000 UTC","23.45.148.131","2948","172.28.0.2","6","443","60000","821","0x0018"
"45","Mar 21, 2024 18:04:58.544257000 UTC","172.28.0.2","52","23.45.148.131","6","60000","443","35790","0x0010"
"46","Mar 21, 2024 18:04:58.545091000 UTC","23.45.148.131","2948","172.28.0.2","6","443","60000","821","0x0018"
"47","Mar 21, 2024 18:04:58.545214000 UTC","172.28.0.2","52","23.45.148.131","6","60000","443","38686","0x0010"
"48","Mar 21, 2024 18:04:58.546000000 UTC","23.45.148.131","2948","172.28.0.2","6","443","60000","821","0x0018"
"49","Mar 21, 2024 18:04:58.546116000 UTC","172.28.0.2","52","23.45.148.131","6","60000","443","41582","0x0010"
"50","Mar 21, 2024 18:04:58.546828000 UTC","23.45.148.131","2948","172.28.0.2","6","443","60000","821","0x0018"
"51","Mar 21, 2024 18:04:58.546938000 UTC","172.28.0.2","52","23.45.148.131","6","60000","443","44478","0x0010"
"52","Mar 21, 2024 18:04:58.547762000 UTC","23.45.148.131","2948","172.28.0.2","6","443","60000","821","0x0018"
"53","Mar 21, 2024 18:04:58.547869000 UTC","172.28.0.2","52","23.45.148.131","6","60000","443","47374","0x0010"
"54","Mar 21, 2024 18:04:58.548506000 UTC","23.45.148.131","2948","172.28.0.2","6","443","60000","821","0x0018"
"55","Mar 21, 2024 18:04:58.548609000 UTC","172.28.0.2","52","23.45.148.131","6","60000","443","50270","0x0010"
"56","Mar 21, 2024 18:04:58.549377000 UTC","23.45.148.131","1500","172.28.0.2","6","443","60000","821","0x0010"
"57","Mar 21, 2024 18:04:58.549514000 UTC","172.28.0.2","52","23.45.148.131","6","60000","443","51718","0x0010"
"58","Mar 21, 2024 18:04:58.549612000 UTC","23.45.148.131","2948","172.28.0.2","6","443","60000","821","0x0018"
"59","Mar 21, 2024 18:04:58.549669000 UTC","172.28.0.2","52","23.45.148.131","6","60000","443","54614","0x0010"
"60","Mar 21, 2024 18:04:58.550247000 UTC","23.45.148.131","2948","172.28.0.2","6","443","60000","821","0x0018"
"61","Mar 21, 2024 18:04:58.550363000 UTC","172.28.0.2","52","23.45.148.131","6","60000","443","57510","0x0010"
"62","Mar 21, 2024 18:04:58.550920000 UTC","23.45.148.131","2948","172.28.0.2","6","443","60000","821","0x0018"
"63","Mar 21, 2024 18:04:58.551024000 UTC","172.28.0.2","52","23.45.148.131","6","60000","443","60406","0x0010"
"64","Mar 21, 2024 18:04:58.551649000 UTC","23.45.148.131","2948","172.28.0.2","6","443","60000","821","0x0018"
"65","Mar 21, 2024 18:04:58.551750000 UTC","172.28.0.2","52","23.45.148.131","6","60000","443","63302","0x0010"
"66","Mar 21, 2024 18:04:58.552238000 UTC","23.45.148.131","2948","172.28.0.2","6","443","60000","821","0x0018"
"67","Mar 21, 2024 18:04:58.552352000 UTC","172.28.0.2","52","23.45.148.131","6","60000","443","66198","0x0010"
"68","Mar 21, 2024 18:04:58.553004000 UTC","23.45.148.131","2948","172.28.0.2","6","443","60000","821","0x0018"
"69","Mar 21, 2024 18:04:58.553121000 UTC","172.28.0.2","52","23.45.148.131","6","60000","443","69094","0x0010"
"70","Mar 21, 2024 18:04:58.553770000 UTC","23.45.148.131","2088","172.28.0.2","6","443","60000","821","0x0018"
