frame.number,frame.time,ip.src,ip.len,ip.dst,ip.proto,tcp.srcport,tcp.dstport,tcp.ack,tcp.flags
"1","Mar 21, 2024 18:01:32.496268000 UTC","172.28.0.2","60","104.110.141.47","6","55254","443","0","0x0002"
"2","Mar 21, 2024 18:01:32.508074000 UTC","104.110.141.47","60","172.28.0.2","6","443","55254","1","0x0012"
"3","Mar 21, 2024 18:01:32.508288000 UTC","172.28.0.2","52","104.110.141.47","6","55254","443","1","0x0010"
"4","Mar 21, 2024 18:01:32.512312000 UTC","172.28.0.2","569","104.110.141.47","6","55254","443","1","0x0018"
"5","Mar 21, 2024 18:01:32.523422000 UTC","104.110.141.47","52","172.28.0.2","6","443","55254","518","0x0010"
"6","Mar 21, 2024 18:01:32.524067000 UTC","104.110.141.47","2948","172.28.0.2","6","443","55254","518","0x0018"
"7","Mar 21, 2024 18:01:32.524155000 UTC","172.28.0.2","52","104.110.141.47","6","55254","443","2897","0x0010"
"8","Mar 21, 2024 18:01:32.524069000 UTC","104.110.141.47","1252","172.28.0.2","6","443","55254","518","0x0018"
"9","Mar 21, 2024 18:01:32.524219000 UTC","172.28.0.2","52","104.110.141.47","6","55254","443","4097","0x0010"
"10","Mar 21, 2024 18:01:32.524678000 UTC","104.110.141.47","1500","172.28.0.2","6","443","55254","518","0x0010"
"11","Mar 21, 2024 18:01:32.524758000 UTC","172.28.0.2","52","104.110.141.47","6","55254","443","5545","0x0010"
"12","Mar 21, 2024 18:01:32.535086000 UTC","104.110.141.47","213","172.28.0.2","6","443","55254","518","0x0018"
"13","Mar 21, 2024 18:01:32.535288000 UTC","172.28.0.2","52","104.110.141.47","6","55254","443","5706","0x0010"
"14","Mar 21, 2024 18:01:32.535917000 UTC","172.28.0.2","132","104.110.141.47","6","55254","443","5706","0x0018"
"15","Mar 21, 2024 18:01:32.536132000 UTC","172.28.0.2","158","104.110.141.47","6","55254","443","5706","0x0018"
"16","Mar 21, 2024 18:01:32.547206000 UTC","104.110.141.47","339","172.28.0.2","6","443","55254","704","0x0018"
"17","Mar 21, 2024 18:01:32.547210000 UTC","104.110.141.47","339","172.28.0.2","6","443","55254","704","0x0018"
"18","Mar 21, 2024 18:01:32.547647000 UTC","172.28.0.2","52","104.110.141.47","6","55254","443","6280","0x0010"
"19","Mar 21, 2024 18:01:32.552719000 UTC","104.110.141.47","647","172.28.0.2","6","443","55254","704","0x0018"
"20","Mar 21, 2024 18:01:32.553289000 UTC","172.28.0.2","76","104.110.141.47","6","55254","443","6875","0x0018"
"21","Mar 21, 2024 18:01:32.553493000 UTC","172.28.0.2","52","104.110.141.47","6","55254","443","6875","0x0011"
"22","Mar 21, 2024 18:01:32.580970000 UTC","104.110.141.47","76","172.28.0.2","6","443","55254","729","0x0018"
"23","Mar 21, 2024 18:01:32.581192000 UTC","172.28.0.2","40","104.110.141.47","6","55254","443","0","0x0004"
"24","Mar 21, 2024 18:01:32.581284000 UTC","104.110.141.47","52","172.28.0.2","6","443","55254","729","0x0011"
"25","Mar 21, 2024 18:01:32.581405000 UTC","172.28.0.2","40","104.110.141.47","6","55254","443","0","0x0004"
"26","Mar 21, 2024 18:02:53.069590000 UTC","172.28.0.2","60","104.110.141.47","6","59638","443","0","0x0002"
