frame.number,frame.time,ip.src,ip.len,ip.dst,ip.proto,tcp.srcport,tcp.dstport,tcp.ack,tcp.flags
"1","Mar 21, 2024 18:01:18.013089000 UTC","172.28.0.2","60","23.222.193.123","6","39468","443","0","0x0002"
"2","Mar 21, 2024 18:01:18.031397000 UTC","23.222.193.123","60","172.28.0.2","6","443","39468","1","0x0012"
"3","Mar 21, 2024 18:01:18.031609000 UTC","172.28.0.2","52","23.222.193.123","6","39468","443","1","0x0010"
"4","Mar 21, 2024 18:01:18.037036000 UTC","172.28.0.2","569","23.222.193.123","6","39468","443","1","0x0018"
"5","Mar 21, 2024 18:01:18.054667000 UTC","23.222.193.123","52","172.28.0.2","6","443","39468","518","0x0010"
"6","Mar 21, 2024 18:01:18.055373000 UTC","23.222.193.123","2948","172.28.0.2","6","443","39468","518","0x0018"
"7","Mar 21, 2024 18:01:18.055469000 UTC","172.28.0.2","52","23.222.193.123","6","39468","443","2897","0x0010"
"8","Mar 21, 2024 18:01:18.055374000 UTC","23.222.193.123","826","172.28.0.2","6","443","39468","518","0x0018"
"9","Mar 21, 2024 18:01:18.055532000 UTC","172.28.0.2","52","23.222.193.123","6","39468","443","3671","0x0010"
"10","Mar 21, 2024 18:01:18.057702000 UTC","172.28.0.2","132","23.222.193.123","6","39468","443","3671","0x0018"
"11","Mar 21, 2024 18:01:18.057939000 UTC","172.28.0.2","98","23.222.193.123","6","39468","443","3671","0x0018"
"12","Mar 21, 2024 18:01:18.058007000 UTC","172.28.0.2","101","23.222.193.123","6","39468","443","3671","0x0018"
"13","Mar 21, 2024 18:01:18.058054000 UTC","172.28.0.2","87","23.222.193.123","6","39468","443","3671","0x0018"
"14","Mar 21, 2024 18:01:18.058121000 UTC","172.28.0.2","113","23.222.193.123","6","39468","443","3671","0x0018"
"15","Mar 21, 2024 18:01:18.075424000 UTC","23.222.193.123","339","172.28.0.2","6","443","39468","644","0x0018"
"16","Mar 21, 2024 18:01:18.075426000 UTC","23.222.193.123","339","172.28.0.2","6","443","39468","693","0x0018"
"17","Mar 21, 2024 18:01:18.075669000 UTC","23.222.193.123","113","172.28.0.2","6","443","39468","728","0x0018"
"18","Mar 21, 2024 18:01:18.075670000 UTC","23.222.193.123","83","172.28.0.2","6","443","39468","728","0x0018"
"19","Mar 21, 2024 18:01:18.075970000 UTC","172.28.0.2","83","23.222.193.123","6","39468","443","4337","0x0018"
"20","Mar 21, 2024 18:01:18.093531000 UTC","23.222.193.123","52","172.28.0.2","6","443","39468","820","0x0010"
"21","Mar 21, 2024 18:01:18.109637000 UTC","23.222.193.123","445","172.28.0.2","6","443","39468","820","0x0018"
"22","Mar 21, 2024 18:01:18.109836000 UTC","23.222.193.123","2948","172.28.0.2","6","443","39468","820","0x0018"
"23","Mar 21, 2024 18:01:18.109837000 UTC","23.222.193.123","2948","172.28.0.2","6","443","39468","820","0x0018"
"24","Mar 21, 2024 18:01:18.109838000 UTC","23.222.193.123","2948","172.28.0.2","6","443","39468","820","0x0018"
"25","Mar 21, 2024 18:01:18.109839000 UTC","23.222.193.123","2948","172.28.0.2","6","443","39468","820","0x0018"
"26","Mar 21, 2024 18:01:18.110059000 UTC","172.28.0.2","52","23.222.193.123","6","39468","443","16314","0x0010"
"27","Mar 21, 2024 18:01:18.110571000 UTC","23.222.193.123","2948","172.28.0.2","6","443","39468","820","0x0018"
"28","Mar 21, 2024 18:01:18.110661000 UTC","172.28.0.2","52","23.222.193.123","6","39468","443","19210","0x0010"
"29","Mar 21, 2024 18:01:18.111531000 UTC","23.222.193.123","2009","172.28.0.2","6","443","39468","820","0x0018"
"30","Mar 21, 2024 18:01:18.111614000 UTC","172.28.0.2","52","23.222.193.123","6","39468","443","21167","0x0010"
"31","Mar 21, 2024 18:01:18.112133000 UTC","23.222.193.123","2948","172.28.0.2","6","443","39468","820","0x0018"
"32","Mar 21, 2024 18:01:18.112199000 UTC","172.28.0.2","52","23.222.193.123","6","39468","443","24063","0x0010"
"33","Mar 21, 2024 18:01:18.113155000 UTC","23.222.193.123","2948","172.28.0.2","6","443","39468","820","0x0018"
"34","Mar 21, 2024 18:01:18.113227000 UTC","172.28.0.2","52","23.222.193.123","6","39468","443","26959","0x0010"
"35","Mar 21, 2024 18:01:18.114239000 UTC","23.222.193.123","2948","172.28.0.2","6","443","39468","820","0x0018"
"36","Mar 21, 2024 18:01:18.114326000 UTC","172.28.0.2","52","23.222.193.123","6","39468","443","29855","0x0010"
"37","Mar 21, 2024 18:01:18.115236000 UTC","23.222.193.123","1500","172.28.0.2","6","443","39468","820","0x0010"
"38","Mar 21, 2024 18:01:18.115319000 UTC","172.28.0.2","52","23.222.193.123","6","39468","443","31303","0x0010"
"39","Mar 21, 2024 18:01:18.127620000 UTC","23.222.193.123","2948","172.28.0.2","6","443","39468","820","0x0018"
"40","Mar 21, 2024 18:01:18.127814000 UTC","172.28.0.2","52","23.222.193.123","6","39468","443","34199","0x0010"
"41","Mar 21, 2024 18:01:18.127979000 UTC","23.222.193.123","2948","172.28.0.2","6","443","39468","820","0x0018"
"42","Mar 21, 2024 18:01:18.128038000 UTC","172.28.0.2","52","23.222.193.123","6","39468","443","37095","0x0010"
"43","Mar 21, 2024 18:01:18.129038000 UTC","23.222.193.123","2948","172.28.0.2","6","443","39468","820","0x0018"
"44","Mar 21, 2024 18:01:18.129122000 UTC","172.28.0.2","52","23.222.193.123","6","39468","443","39991","0x0010"
"45","Mar 21, 2024 18:01:18.130011000 UTC","23.222.193.123","2948","172.28.0.2","6","443","39468","820","0x0018"
"46","Mar 21, 2024 18:01:18.130097000 UTC","172.28.0.2","52","23.222.193.123","6","39468","443","42887","0x0010"
