frame.number,frame.time,ip.src,ip.len,ip.dst,ip.proto,tcp.srcport,tcp.dstport,tcp.ack,tcp.flags
"1","Mar 21, 2024 18:07:37.691204000 UTC","172.28.0.2","60","192.0.66.32","6","44120","443","0","0x0002"
"2","Mar 21, 2024 18:07:37.704389000 UTC","192.0.66.32","52","172.28.0.2","6","443","44120","1","0x0012"
"3","Mar 21, 2024 18:07:37.704678000 UTC","172.28.0.2","40","192.0.66.32","6","44120","443","1","0x0010"
"4","Mar 21, 2024 18:07:37.708684000 UTC","172.28.0.2","557","192.0.66.32","6","44120","443","1","0x0018"
"5","Mar 21, 2024 18:07:37.721637000 UTC","192.0.66.32","40","172.28.0.2","6","443","44120","518","0x0010"
"6","Mar 21, 2024 18:07:37.722484000 UTC","192.0.66.32","2960","172.28.0.2","6","443","44120","518","0x0018"
"7","Mar 21, 2024 18:07:37.722702000 UTC","172.28.0.2","40","192.0.66.32","6","44120","443","2921","0x0010"
"8","Mar 21, 2024 18:07:37.722487000 UTC","192.0.66.32","1216","172.28.0.2","6","443","44120","518","0x0018"
"9","Mar 21, 2024 18:07:37.722863000 UTC","172.28.0.2","40","192.0.66.32","6","44120","443","4097","0x0010"
"10","Mar 21, 2024 18:07:37.722488000 UTC","192.0.66.32","89","172.28.0.2","6","443","44120","518","0x0018"
"11","Mar 21, 2024 18:07:37.722983000 UTC","172.28.0.2","40","192.0.66.32","6","44120","443","4146","0x0010"
"12","Mar 21, 2024 18:07:37.726185000 UTC","172.28.0.2","120","192.0.66.32","6","44120","443","4146","0x0018"
"13","Mar 21, 2024 18:07:37.726609000 UTC","172.28.0.2","86","192.0.66.32","6","44120","443","4146","0x0018"
"14","Mar 21, 2024 18:07:37.726759000 UTC","172.28.0.2","89","192.0.66.32","6","44120","443","4146","0x0018"
"15","Mar 21, 2024 18:07:37.726880000 UTC","172.28.0.2","75","192.0.66.32","6","44120","443","4146","0x0018"
"16","Mar 21, 2024 18:07:37.727008000 UTC","172.28.0.2","102","192.0.66.32","6","44120","443","4146","0x0018"
"17","Mar 21, 2024 18:07:37.738897000 UTC","192.0.66.32","327","172.28.0.2","6","443","44120","598","0x0018"
"18","Mar 21, 2024 18:07:37.739146000 UTC","192.0.66.32","327","172.28.0.2","6","443","44120","598","0x0018"
"19","Mar 21, 2024 18:07:37.739148000 UTC","192.0.66.32","102","172.28.0.2","6","443","44120","598","0x0018"
"20","Mar 21, 2024 18:07:37.739356000 UTC","172.28.0.2","40","192.0.66.32","6","44120","443","4720","0x0010"
"21","Mar 21, 2024 18:07:37.739360000 UTC","192.0.66.32","40","172.28.0.2","6","443","44120","693","0x0010"
"22","Mar 21, 2024 18:07:37.739361000 UTC","192.0.66.32","71","172.28.0.2","6","443","44120","693","0x0018"
"23","Mar 21, 2024 18:07:37.739514000 UTC","192.0.66.32","40","172.28.0.2","6","443","44120","790","0x0010"
"24","Mar 21, 2024 18:07:37.739570000 UTC","172.28.0.2","71","192.0.66.32","6","44120","443","4813","0x0018"
"25","Mar 21, 2024 18:07:37.739702000 UTC","192.0.66.32","526","172.28.0.2","6","443","44120","790","0x0018"
"26","Mar 21, 2024 18:07:37.740152000 UTC","172.28.0.2","64","192.0.66.32","6","44120","443","5299","0x0018"
"27","Mar 21, 2024 18:07:37.740324000 UTC","172.28.0.2","40","192.0.66.32","6","44120","443","5299","0x0011"
"28","Mar 21, 2024 18:07:37.752646000 UTC","192.0.66.32","40","172.28.0.2","6","443","44120","845","0x0010"
"29","Mar 21, 2024 18:07:37.753014000 UTC","192.0.66.32","40","172.28.0.2","6","443","44120","845","0x0011"
"30","Mar 21, 2024 18:07:37.753162000 UTC","172.28.0.2","40","192.0.66.32","6","44120","443","5300","0x0010"
"31","Mar 21, 2024 18:07:37.753016000 UTC","192.0.66.32","40","172.28.0.2","6","443","44120","846","0x0010"
