frame.number,frame.time,ip.src,ip.len,ip.dst,ip.proto,tcp.srcport,tcp.dstport,tcp.ack,tcp.flags
"1","Mar 21, 2024 17:54:07.991744000 UTC","172.28.0.2","60","23.202.153.123","6","57130","443","0","0x0002"
"2","Mar 21, 2024 17:54:08.010070000 UTC","23.202.153.123","60","172.28.0.2","6","443","57130","1","0x0012"
"3","Mar 21, 2024 17:54:08.010291000 UTC","172.28.0.2","52","23.202.153.123","6","57130","443","1","0x0010"
"4","Mar 21, 2024 17:54:08.013929000 UTC","172.28.0.2","569","23.202.153.123","6","57130","443","1","0x0018"
"5","Mar 21, 2024 17:54:08.031392000 UTC","23.202.153.123","52","172.28.0.2","6","443","57130","518","0x0010"
"6","Mar 21, 2024 17:54:08.032252000 UTC","23.202.153.123","2948","172.28.0.2","6","443","57130","518","0x0018"
"7","Mar 21, 2024 17:54:08.032414000 UTC","172.28.0.2","52","23.202.153.123","6","57130","443","2897","0x0010"
"8","Mar 21, 2024 17:54:08.032254000 UTC","23.202.153.123","825","172.28.0.2","6","443","57130","518","0x0018"
"9","Mar 21, 2024 17:54:08.032504000 UTC","172.28.0.2","52","23.202.153.123","6","57130","443","3670","0x0010"
"10","Mar 21, 2024 17:54:08.034651000 UTC","172.28.0.2","132","23.202.153.123","6","57130","443","3670","0x0018"
"11","Mar 21, 2024 17:54:08.034872000 UTC","172.28.0.2","98","23.202.153.123","6","57130","443","3670","0x0018"
"12","Mar 21, 2024 17:54:08.034921000 UTC","172.28.0.2","101","23.202.153.123","6","57130","443","3670","0x0018"
"13","Mar 21, 2024 17:54:08.034952000 UTC","172.28.0.2","87","23.202.153.123","6","57130","443","3670","0x0018"
"14","Mar 21, 2024 17:54:08.035000000 UTC","172.28.0.2","113","23.202.153.123","6","57130","443","3670","0x0018"
"15","Mar 21, 2024 17:54:08.053025000 UTC","23.202.153.123","339","172.28.0.2","6","443","57130","789","0x0018"
