frame.number,frame.time,ip.src,ip.len,ip.dst,ip.proto,tcp.srcport,tcp.dstport,tcp.ack,tcp.flags
"1","Mar 21, 2024 17:57:57.296632000 UTC","172.28.0.2","60","192.0.66.32","6","56386","443","0","0x0002"
"2","Mar 21, 2024 17:57:57.309131000 UTC","192.0.66.32","52","172.28.0.2","6","443","56386","1","0x0012"
"3","Mar 21, 2024 17:57:57.309312000 UTC","172.28.0.2","40","192.0.66.32","6","56386","443","1","0x0010"
"4","Mar 21, 2024 17:57:57.313348000 UTC","172.28.0.2","557","192.0.66.32","6","56386","443","1","0x0018"
"5","Mar 21, 2024 17:57:57.325780000 UTC","192.0.66.32","40","172.28.0.2","6","443","56386","518","0x0010"
"6","Mar 21, 2024 17:57:57.326770000 UTC","192.0.66.32","2960","172.28.0.2","6","443","56386","518","0x0018"
"7","Mar 21, 2024 17:57:57.326904000 UTC","172.28.0.2","40","192.0.66.32","6","56386","443","2921","0x0010"
"8","Mar 21, 2024 17:57:57.326772000 UTC","192.0.66.32","1216","172.28.0.2","6","443","56386","518","0x0018"
"9","Mar 21, 2024 17:57:57.326999000 UTC","172.28.0.2","40","192.0.66.32","6","56386","443","4097","0x0010"
"10","Mar 21, 2024 17:57:57.327182000 UTC","192.0.66.32","88","172.28.0.2","6","443","56386","518","0x0018"
"11","Mar 21, 2024 17:57:57.327256000 UTC","172.28.0.2","40","192.0.66.32","6","56386","443","4145","0x0010"
"12","Mar 21, 2024 17:57:57.330420000 UTC","172.28.0.2","120","192.0.66.32","6","56386","443","4145","0x0018"
"13","Mar 21, 2024 17:57:57.330762000 UTC","172.28.0.2","86","192.0.66.32","6","56386","443","4145","0x0018"
"14","Mar 21, 2024 17:57:57.330870000 UTC","172.28.0.2","89","192.0.66.32","6","56386","443","4145","0x0018"
"15","Mar 21, 2024 17:57:57.330938000 UTC","172.28.0.2","75","192.0.66.32","6","56386","443","4145","0x0018"
"16","Mar 21, 2024 17:57:57.331035000 UTC","172.28.0.2","102","192.0.66.32","6","56386","443","4145","0x0018"
"17","Mar 21, 2024 17:57:57.342886000 UTC","192.0.66.32","327","172.28.0.2","6","443","56386","598","0x0018"
"18","Mar 21, 2024 17:57:57.342888000 UTC","192.0.66.32","327","172.28.0.2","6","443","56386","598","0x0018"
"19","Mar 21, 2024 17:57:57.343114000 UTC","192.0.66.32","102","172.28.0.2","6","443","56386","598","0x0018"
"20","Mar 21, 2024 17:57:57.343115000 UTC","192.0.66.32","40","172.28.0.2","6","443","56386","693","0x0010"
"21","Mar 21, 2024 17:57:57.343198000 UTC","192.0.66.32","71","172.28.0.2","6","443","56386","693","0x0018"
"22","Mar 21, 2024 17:57:57.343318000 UTC","172.28.0.2","71","192.0.66.32","6","56386","443","4812","0x0018"
"23","Mar 21, 2024 17:57:57.343418000 UTC","192.0.66.32","40","172.28.0.2","6","443","56386","790","0x0010"
"24","Mar 21, 2024 17:57:57.343556000 UTC","192.0.66.32","525","172.28.0.2","6","443","56386","790","0x0018"
"25","Mar 21, 2024 17:57:57.343994000 UTC","172.28.0.2","64","192.0.66.32","6","56386","443","5297","0x0018"
"26","Mar 21, 2024 17:57:57.344139000 UTC","172.28.0.2","40","192.0.66.32","6","56386","443","5297","0x0011"
"27","Mar 21, 2024 17:57:57.356267000 UTC","192.0.66.32","40","172.28.0.2","6","443","56386","845","0x0010"
"28","Mar 21, 2024 17:57:57.356504000 UTC","192.0.66.32","40","172.28.0.2","6","443","56386","846","0x0011"
